Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,<missing>,JPMorgan Nasdaq Equity Premium Inc ETF,JEPQ,0.00%,3.00%,3.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,13.25%,0.00%,13.25%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,18.00%,-3.00%,15.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Cash,JPMorgan Prime Money Market Inst,JINXX,0.50%,0.00%,0.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Developed Markets Equity,Vanguard Intl Hi Div Yld Idx ETF,VYMI,13.25%,0.00%,13.25%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Extended Credit,JPMorgan Income I,JMSIX,14.00%,0.00%,14.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.00%,3.00%,3.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,6.00%,0.00%,6.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,5.50%,0.00%,5.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,8.50%,0.00%,8.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,U.S. Equity,JPMorgan Equity Premium Income ETF,JEPI,13.00%,-4.00%,9.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,3.00%,0.00%,3.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 60-40 MF/ETF Model,<missing>,JPMorgan Nasdaq Equity Premium Inc ETF,JEPQ,0.00%,4.00%,4.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,17.25%,0.00%,17.25%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,5.50%,-2.00%,3.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Cash,JPMorgan Prime Money Market Inst,JINXX,0.50%,0.00%,0.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Developed Markets Equity,Vanguard Intl Hi Div Yld Idx ETF,VYMI,17.50%,0.00%,17.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Extended Credit,JPMorgan Income I,JMSIX,13.00%,0.00%,13.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.00%,2.00%,2.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,4.00%,0.00%,4.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,8.00%,0.00%,8.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,11.00%,0.00%,11.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,JPMorgan Equity Premium Income ETF,JEPI,14.50%,-5.00%,9.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,3.75%,0.00%,3.75%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 75-25 MF/ETF Model,<missing>,JPMorgan Nasdaq Equity Premium Inc ETF,JEPQ,0.00%,5.00%,5.00%,08/25/2023
